Power=calc,e_d=calc,DesiredDistance=calc,PowerD=calc,Tid=meas,Avstand=meas,Ts=calc,e_i=calc,e_f=calc,PowerA=calc,e_k=calc
No specified init-data
0,0,220,0,0,220,0.005,0,0,0,0
0,0,220,0,0.003931999206542969,220,0.003931999206542969,0,0,0,0
0,0,220,0,0.009742021560668945,220,0.005810022354125977,0,0,0,0
0,0,220,0,0.01861286163330078,220,0.008870840072631836,0,0,0,0
0,0,220,0,0.02236104011535645,220,0.003748178482055664,0,0,0,0
0,0,220,0,0.03130793571472168,220,0.008946895599365234,0,0,0,0
0,0,220,0,0.03793191909790039,220,0.006623983383178711,0,0,0,0
0,0,220,0,0.04211783409118652,220,0.004185914993286133,0,0,0,0
0,0,220,0,0.04763388633728027,220,0.00551605224609375,0,0,0,0
0,0,220,0,0.05404996871948242,220,0.006416082382202148,0,0,0,0
0,0,220,0,0.06088781356811523,220,0.006837844848632813,0,0,0,0
0,0,220,0,0.06571793556213379,220,0.004830121994018555,0,0,0,0
0,0,220,0,0.07053995132446289,220,0.004822015762329102,0,0,0,0
0,0,220,0,0.07847380638122559,220,0.007933855056762695,0,0,0,0
0,0,220,0,0.08156585693359375,220,0.003092050552368164,0,0,0,0
0,0,220,0,0.08741402626037598,220,0.005848169326782227,0,0,0,0
0,0,220,0,0.09429287910461426,220,0.006878852844238281,0,0,0,0
0,0,220,0,0.09792494773864746,220,0.003632068634033203,0,0,0,0
0,0,220,0,0.1036319732666016,220,0.005707025527954102,0,0,0,0
0,0,220,0,0.1088788509368896,220,0.005246877670288086,0,0,0,0
0,0,220,0,0.1160600185394287,220,0.007181167602539063,0,0,0,0
0,0,220,0,0.1233279705047607,220,0.007267951965332031,0,0,0,0
0,0,220,0,0.1327869892120361,220,0.009459018707275391,0,0,0,0
0,0,220,0,0.1394250392913818,220,0.006638050079345703,0,0,0,0
0,0,220,0,0.1438539028167725,220,0.004428863525390625,0,0,0,0
